Disease,Source,Statement,Content, Date, Link
Malaria cases,Times of India,Severe malaria cases in Ahmedabad a concern: Study,Just as monsoon sets in| vector-borne diseases become a worry. But a new study has pointed to a new concern for malaria| one of the most common mosquito-caused diseases in the city.,17 Jun 2020,https://timesofindia.indiatimes.com/city/ahmedabad/severe-malaria-cases-in-abad-a-concern-study/articleshow/76413766.cms
Malaria cases,Times of India,45 malaria cases in Delhi| 35 of dengue,Forty-five cases of malaria and 35 of dengue have been reported in the national capital this year till August 8| according to a municipal report released on Monday.,2020-08-10T15:47:33Z,https://timesofindia.indiatimes.com/city/delhi/45-malaria-cases-in-delhi-35-of-dengue/articleshow/77467834.cms
Malaria cases,Times of India,Spike in dengue| malaria cases a new challenge amid Covid in Hyderabad,,20 Jul 2020,https://timesofindia.indiatimes.com/city/hyderabad/spike-in-dengue-malaria-cases-a-new-challenge-amid-covid/articleshow/77056677.cms
Malaria cases,Times of India,Gujarat: 49 cases of malaria| 36 of dengue daily,Data on the vector-borne diseases and swine flu were tabled in the assembly on Thursday. The data mentioned that on average 49 cases of malaria| 36 of dengue and 10 of swine flu were recorded in Gujarat between January 1| 2018 and December 31| 2019.,28 Feb 2020,https://timesofindia.indiatimes.com/city/ahmedabad/49-cases-of-malaria-36-of-dengue-daily/articleshow/74347777.cms
Malaria cases,Times of India,Monsoon double whammy: Covid with malaria and leptospirosis in Mumbai,City doctors have begun seeing the worrisome combination of Covid with rain-related ailments such as dengue| malaria and leptospirosis. All tertiary medical colleges have seen lepto-Covid| dengue-Covid and malaria-Covid cases in the past few weeks| though there haven’t been many surprises and patients seem to be recovering with standard line of care.,25 Jul 2020,https://timesofindia.indiatimes.com/city/mumbai/monsoon-double-whammy-covid-with-malaria-lepto/articleshow/77159903.cms
Malaria cases,Times of India,Kerala: Fever cases reduce by half during lockdown in Ernakulam,During the lockdown period (April and May)| the number of fever cases in Ernakulam reduced by more than half. Ditto with malaria and chicken pox cases| even as dengue cases increased. There was even a leptospirosis death.,06 Jun 2020,https://timesofindia.indiatimes.com/city/kochi/fever-cases-reduce-by-half-during-lockdown-in-district/articleshow/76224326.cms
Malaria cases,Times of India,Malaria bites Mumbai again| claims 2 lives| breaks 2019's zero death record,Malaria has claimed two lives ending the city's short-lived streak of zero casualties caused by the mosquito-borne disease.,2020-08-11T23:33:17Z,https://timesofindia.indiatimes.com/city/mumbai/malaria-bites-mumbai-again-claims-2-lives-breaks-2019s-zero-death-record/articleshow/77495350.cms
Malaria cases,Times of India,JAC seeks 10-day lockdown in Vizag Agency,Fearing a rise in number of Covid-19 cases| activists| traders and students in Vizag Agency are demanding officials impose a lockdown in the region for a week to 10 days.,06 Aug 2020,https://timesofindia.indiatimes.com/city/visakhapatnam/adivasi-jac-calls-for-week-long-lockdown-in-vizag-agency/articleshow/77379984.cms
Malaria cases,Times of India,Toll crosses 10|000 in MMR and 16|000 in Maharashtra| recoveries close to 3 lakh,,05 Aug 2020,https://timesofindia.indiatimes.com/city/mumbai/toll-crosses-10000-in-mmr-and-16000-in-maharashtra-recoveries-close-to-3-lakh/articleshow/77363694.cms
Malaria cases,Times of India,Visakhapatnam: Drop in dengue and malaria cases linked to low testing?,Vizag city has reported 59 dengue and 22 malaria cases as of August 8| significantly lower than that reported in the last few years. In 2018| the city recorded 416 malaria and 1|464 dengue cases| which declined in 2019 to 89 malaria and 827 dengue cases. The steep drop in the cases this year is being attributed to decreased testing for malaria and dengue in view of measures to manage and contain Covid-19. Visakhapatnam district has reported around 20|500 Covid-19 cases as of Monday.,2020-08-11T02:33:49Z,https://timesofindia.indiatimes.com/city/visakhapatnam/drop-in-dengue-and-malaria-cases-linked-to-low-testing/articleshow/77471275.cms
Malaria cases,Times of India,Visakhapatnam: Agency battles to keep Covid count below malaria,The fact that the Agency area is cut off from the mainstreams has helped its residents for the first time. It is one of the prime reasons why Covid-19 cases have been low here. Every year during monsoon malaria spreads across the Agency. It reported 952 malaria cases in 2019 and 1|685 cases in 2018. This year 957 malaria| six dengue and two chikungunya cases have been reported so far.,23 Jul 2020,https://timesofindia.indiatimes.com/city/visakhapatnam/agency-battles-to-keep-covid-count-below-malaria/articleshow/77115357.cms
